filename,ID,gender,age,x,y,w,h,timestamp
./data/at/Herdinand/001_0.pgm,001,M,20,243,130,233,233,1.591259479522705
./data/at/Herdinand/001_1.pgm,001,M,20,208,149,221,221,1.6475472450256348
./data/at/Herdinand/001_2.pgm,001,M,20,212,149,221,221,1.6699202060699463
./data/at/Herdinand/001_3.pgm,001,M,20,212,151,224,224,1.6889853477478027
./data/at/Herdinand/001_4.pgm,001,M,20,215,154,220,220,1.7104594707489014
./data/at/Herdinand/001_5.pgm,001,M,20,222,157,221,221,1.7340378761291504
./data/at/Herdinand/001_6.pgm,001,M,20,222,157,221,221,1.7642202377319336
./data/at/Herdinand/001_7.pgm,001,M,20,228,155,226,226,1.7923054695129395
./data/at/Herdinand/001_8.pgm,001,M,20,237,159,216,216,1.824181079864502
./data/at/Herdinand/001_9.pgm,001,M,20,234,154,227,227,1.8531978130340576
./data/at/Herdinand/001_10.pgm,001,M,20,241,158,221,221,1.9067881107330322
./data/at/Herdinand/001_11.pgm,001,M,20,243,157,218,218,1.9383149147033691
./data/at/Herdinand/001_12.pgm,001,M,20,237,151,226,226,1.9713211059570312
./data/at/Herdinand/001_13.pgm,001,M,20,230,145,233,233,2.0034210681915283
./data/at/Herdinand/001_14.pgm,001,M,20,230,153,221,221,2.034710645675659
./data/at/Herdinand/001_15.pgm,001,M,20,227,152,215,215,2.070646286010742
./data/at/Herdinand/001_16.pgm,001,M,20,227,152,215,215,2.099027633666992
./data/at/Herdinand/001_17.pgm,001,M,20,221,153,214,214,2.130558729171753
./data/at/Herdinand/001_18.pgm,001,M,20,210,150,226,226,2.163541316986084
./data/at/Herdinand/001_19.pgm,001,M,20,202,142,234,234,2.1991941928863525
./data/at/Herdinand/001_20.pgm,001,M,20,195,143,238,238,2.223104953765869
./data/at/Herdinand/001_21.pgm,001,M,20,176,135,255,255,2.255276918411255
./data/at/Herdinand/001_22.pgm,001,M,20,170,142,245,245,2.308598518371582
./data/at/Herdinand/001_23.pgm,001,M,20,175,137,247,247,2.375873565673828
./data/at/Herdinand/001_24.pgm,001,M,20,173,135,247,247,2.404679775238037
./data/at/Herdinand/001_25.pgm,001,M,20,173,135,247,247,2.4289257526397705
./data/at/Herdinand/001_26.pgm,001,M,20,175,141,231,231,2.460125684738159
./data/at/Herdinand/001_27.pgm,001,M,20,181,147,226,226,2.481659173965454
./data/at/Herdinand/001_28.pgm,001,M,20,187,148,222,222,2.519197940826416
./data/at/Herdinand/001_29.pgm,001,M,20,194,146,217,217,2.5482864379882812
./data/at/Herdinand/001_30.pgm,001,M,20,196,149,217,217,2.5797805786132812
./data/at/Herdinand/001_31.pgm,001,M,20,198,149,216,216,2.615452527999878
./data/at/Herdinand/001_32.pgm,001,M,20,198,146,220,220,2.6457178592681885
./data/at/Herdinand/001_33.pgm,001,M,20,198,145,223,223,2.7107043266296387
./data/at/Herdinand/001_34.pgm,001,M,20,205,149,215,215,2.743455171585083
./data/at/Herdinand/001_35.pgm,001,M,20,205,149,215,215,2.769174814224243
./data/at/Herdinand/001_36.pgm,001,M,20,199,145,224,224,2.7883052825927734
./data/at/Herdinand/001_37.pgm,001,M,20,206,149,213,213,2.8106582164764404
./data/at/Herdinand/001_38.pgm,001,M,20,208,151,209,209,2.852382183074951
./data/at/Herdinand/001_39.pgm,001,M,20,204,149,215,215,2.883826971054077
./data/at/Herdinand/001_40.pgm,001,M,20,209,152,211,211,2.9163248538970947
./data/at/Herdinand/001_41.pgm,001,M,20,205,150,220,220,2.950573682785034
./data/at/Herdinand/001_42.pgm,001,M,20,198,147,229,229,2.98108172416687
./data/at/Herdinand/001_43.pgm,001,M,20,198,146,230,230,3.0127289295196533
./data/at/Herdinand/001_44.pgm,001,M,20,200,147,226,226,3.047555685043335
./data/at/Herdinand/001_45.pgm,001,M,20,205,149,222,222,3.091217279434204
./data/at/Herdinand/001_46.pgm,001,M,20,204,152,223,223,3.113534450531006
./data/at/Herdinand/001_47.pgm,001,M,20,207,148,226,226,3.144775390625
